Team_Abbr,League,Salary,Wins,Loss
ARI,0,91.995583,69,93
ATL,0,77.073541,68,93
BAL,1,141.741213,89,73
BOS,1,198.328678,93,69
CHC,0,163.805667,103,58
CHW,1,113.911667,78,84
CIN,0,80.905951,68,94
CLE,1,92.652499,94,67
COL,0,103.603571,75,87
DET,1,192.3075,86,75
HOU,1,89.0625,84,78
KCR,1,136.564175,81,81
LAA,1,160.98619,74,88
LAD,0,248.321662,91,71
MIA,0,64.02,79,82
MIL,0,51.2,73,89
MIN,1,99.8125,59,103
NYM,0,128.413458,87,75
NYY,1,221.574999,84,78
OAK,1,80.613332,69,93
PHI,0,91.616668,71,91
PIT,0,95.840999,78,83
SDP,0,94.12,68,94
SEA,1,166.744443,86,76
SFG,0,139.804258,87,75
STL,0,143.514,86,76
TBR,1,60.065366,68,94
TEX,1,158.68022,95,67
TOR,1,131.905327,89,73
WSN,0,142.501785,95,67
